day,price,competitor
01/01/2020,127.98,auto.leclerc
01/01/2020,129.6,avatacar.com
01/01/2020,141.9,bonspneus.fr
01/01/2020,127.78,cdiscount.com
01/01/2020,128.2,centralepneus.fr
01/01/2020,145.99,coteroute.fr
01/01/2020,141.2,discount-pneus.com
01/01/2020,131.8,euromaster.fr
01/01/2020,125.5,feuvert.fr
01/01/2020,140.99,firststop.fr
01/01/2020,138.9,mister-auto.com
01/01/2020,129.6,monauto.carrefour.fr
01/01/2020,126.9,norauto.fr
01/01/2020,135.7,pneus-online.fr
01/01/2020,144.9,profilplus.fr
01/01/2020,144,tirendo.fr
01/01/2020,125.1,toopneus.com
01/01/2020,144.9,vulco.com
02/01/2020,126.6,1001pneus.fr
02/01/2020,127.98,auto.leclerc
02/01/2020,129.6,avatacar.com
02/01/2020,141.9,bonspneus.fr
02/01/2020,127.78,cdiscount.com
02/01/2020,128.2,centralepneus.fr
02/01/2020,145.99,coteroute.fr
02/01/2020,141.1,discount-pneus.com
02/01/2020,131.8,euromaster.fr
02/01/2020,125.5,feuvert.fr
02/01/2020,140.99,firststop.fr
02/01/2020,138.9,mister-auto.com
02/01/2020,129.6,monauto.carrefour.fr
02/01/2020,126.9,norauto.fr
02/01/2020,135.73,pneus-online.fr
02/01/2020,144.9,profilplus.fr
02/01/2020,144.1,tirendo.fr
02/01/2020,125.2,toopneus.com
02/01/2020,144.9,vulco.com
03/01/2020,126.6,1001pneus.fr
03/01/2020,127.98,auto.leclerc
03/01/2020,129.6,avatacar.com
03/01/2020,141.9,bonspneus.fr
03/01/2020,127.78,cdiscount.com
03/01/2020,128.09,centralepneus.fr
03/01/2020,145.99,coteroute.fr
03/01/2020,141.2,discount-pneus.com
03/01/2020,131.8,euromaster.fr
03/01/2020,125.5,feuvert.fr
03/01/2020,140.99,firststop.fr
03/01/2020,136.9,mister-auto.com
03/01/2020,126.9,norauto.fr
03/01/2020,135.65,pneus-online.fr
03/01/2020,144.9,profilplus.fr
03/01/2020,144.1,tirendo.fr
03/01/2020,125.2,toopneus.com
03/01/2020,144.9,vulco.com
04/01/2020,124.8,1001pneus.fr
04/01/2020,127.3,MY_DEAR_CUSTOMER.com
04/01/2020,127.98,auto.leclerc
04/01/2020,129.6,avatacar.com
04/01/2020,142.91,bonspneus.fr
04/01/2020,127.88,centralepneus.fr
04/01/2020,145.99,coteroute.fr
04/01/2020,141.2,discount-pneus.com
04/01/2020,131.8,euromaster.fr
04/01/2020,125.5,feuvert.fr
04/01/2020,140.99,firststop.fr
04/01/2020,136.9,mister-auto.com
04/01/2020,126.9,norauto.fr
04/01/2020,135.65,pneus-online.fr
04/01/2020,144.9,profilplus.fr
04/01/2020,141.2,tirendo.fr
04/01/2020,125.1,toopneus.com
04/01/2020,144.9,vulco.com
05/01/2020,124.8,1001pneus.fr
05/01/2020,127.3,MY_DEAR_CUSTOMER.com
05/01/2020,127.98,auto.leclerc
05/01/2020,129.6,avatacar.com
05/01/2020,142.91,bonspneus.fr
05/01/2020,127.78,cdiscount.com
05/01/2020,127.88,centralepneus.fr
05/01/2020,145.99,coteroute.fr
05/01/2020,141.1,discount-pneus.com
05/01/2020,131.8,euromaster.fr
05/01/2020,125.5,feuvert.fr
05/01/2020,140.99,firststop.fr
05/01/2020,138.9,mister-auto.com
05/01/2020,129.6,monauto.carrefour.fr
05/01/2020,126.9,norauto.fr
05/01/2020,135.76,pneus-online.fr
05/01/2020,144.9,profilplus.fr
05/01/2020,144.1,tirendo.fr
05/01/2020,125.2,toopneus.com
05/01/2020,144.9,vulco.com
07/01/2020,136.5,1001neumaticos.es
07/01/2020,123.5,1001pneus.fr
07/01/2020,127.3,MY_DEAR_CUSTOMER.com
07/01/2020,127.98,auto.leclerc
07/01/2020,129.6,avatacar.com
07/01/2020,132.59,bandenleader.nl
07/01/2020,143.03,bonspneus.fr
07/01/2020,127.78,cdiscount.com
07/01/2020,133.58,centralepneus.be
07/01/2020,127.79,centralepneus.fr
07/01/2020,145.99,coteroute.fr
07/01/2020,141.1,discount-pneus.com
07/01/2020,131.8,euromaster.fr
07/01/2020,126.9,feuvert.fr
07/01/2020,140.99,firststop.fr
07/01/2020,138.9,mister-auto.com
07/01/2020,129.6,monauto.carrefour.fr
07/01/2020,138.29,neumaticoslider.es
07/01/2020,126.9,norauto.fr
07/01/2020,135,oponeo.nl
07/01/2020,135.76,pneus-online.fr
07/01/2020,144.9,profilplus.fr
07/01/2020,144.1,tirendo.fr
07/01/2020,125.2,toopneus.com
07/01/2020,144.9,vulco.com
08/01/2020,126.3,1001pneus.fr
08/01/2020,162.8,123pneus.fr
08/01/2020,142.91,bonspneus.fr
08/01/2020,127.69,centralepneus.fr
08/01/2020,126.9,feuvert.fr
08/01/2020,126.9,norauto.fr
08/01/2020,140.9,tirendo.fr
09/01/2020,126.3,1001pneus.fr
09/01/2020,162.8,123pneus.fr
09/01/2020,142.91,bonspneus.fr
09/01/2020,127.58,centralepneus.fr
09/01/2020,126.9,feuvert.fr
09/01/2020,127.5,norauto.fr
09/01/2020,140.9,tirendo.fr
10/01/2020,125.4,1001pneus.fr
10/01/2020,162.8,123pneus.fr
10/01/2020,142.91,bonspneus.fr
10/01/2020,127.39,centralepneus.fr
10/01/2020,126.9,feuvert.fr
10/01/2020,127.5,norauto.fr
10/01/2020,140.9,tirendo.fr
11/01/2020,125.4,1001pneus.fr
11/01/2020,162.8,123pneus.fr
11/01/2020,142.76,bonspneus.fr
11/01/2020,127.19,centralepneus.fr
11/01/2020,126.9,feuvert.fr
11/01/2020,126.9,norauto.fr
11/01/2020,140.9,tirendo.fr
12/01/2020,125.4,1001pneus.fr
12/01/2020,162.8,123pneus.fr
12/01/2020,142.76,bonspneus.fr
12/01/2020,127.19,centralepneus.fr
12/01/2020,126.9,feuvert.fr
12/01/2020,126.9,norauto.fr
12/01/2020,140.9,tirendo.fr
13/01/2020,135.9,1001neumaticos.es
13/01/2020,125.4,1001pneus.fr
13/01/2020,132.59,bandenleader.nl
13/01/2020,142.76,bonspneus.fr
13/01/2020,132.99,centralepneus.be
13/01/2020,127.19,centralepneus.fr
13/01/2020,126.9,feuvert.fr
13/01/2020,138.29,neumaticoslider.es
13/01/2020,126.9,norauto.fr
13/01/2020,135,oponeo.nl
13/01/2020,140.9,tirendo.fr
15/01/2020,126.4,1001pneus.fr
15/01/2020,162.8,123pneus.fr
15/01/2020,142.91,bonspneus.fr
15/01/2020,128.69,centralepneus.fr
15/01/2020,126.9,feuvert.fr
15/01/2020,126.9,norauto.fr
15/01/2020,140.9,tirendo.fr
16/01/2020,126.4,1001pneus.fr
16/01/2020,162.8,123pneus.fr
16/01/2020,142.91,bonspneus.fr
16/01/2020,128.48,centralepneus.fr
16/01/2020,126.9,feuvert.fr
16/01/2020,126.9,norauto.fr
16/01/2020,140.9,tirendo.fr
17/01/2020,124.8,1001pneus.fr
17/01/2020,162.8,123pneus.fr
17/01/2020,142.91,bonspneus.fr
17/01/2020,128.29,centralepneus.fr
17/01/2020,126.9,feuvert.fr
17/01/2020,126.9,norauto.fr
17/01/2020,140.9,tirendo.fr
18/01/2020,124.8,1001pneus.fr
18/01/2020,162.8,123pneus.fr
18/01/2020,142.91,bonspneus.fr
18/01/2020,128.2,centralepneus.fr
18/01/2020,126.9,feuvert.fr
18/01/2020,126.9,norauto.fr
18/01/2020,140.9,tirendo.fr
19/01/2020,124.8,1001pneus.fr
19/01/2020,162.8,123pneus.fr
19/01/2020,142.25,bonspneus.fr
19/01/2020,128.2,centralepneus.fr
19/01/2020,126.9,feuvert.fr
19/01/2020,126.9,norauto.fr
19/01/2020,140.9,tirendo.fr
21/01/2020,136.5,1001neumaticos.es
21/01/2020,124.8,1001pneus.fr
21/01/2020,133.29,bandenleader.nl
21/01/2020,142.16,bonspneus.fr
21/01/2020,133.58,centralepneus.be
21/01/2020,128.2,centralepneus.fr
21/01/2020,138.29,neumaticoslider.es
21/01/2020,126.9,norauto.fr
21/01/2020,136,oponeo.nl
21/01/2020,140.9,tirendo.fr
22/01/2020,123.5,1001pneus.fr
22/01/2020,166.9,123pneus.fr
22/01/2020,142.94,bonspneus.fr
22/01/2020,128.78,centralepneus.fr
22/01/2020,126.9,feuvert.fr
22/01/2020,126.9,norauto.fr
22/01/2020,140.9,tirendo.fr
23/01/2020,123.5,1001pneus.fr
23/01/2020,166.9,123pneus.fr
23/01/2020,143.94,bonspneus.fr
23/01/2020,128.78,centralepneus.fr
23/01/2020,126.9,feuvert.fr
23/01/2020,126.9,norauto.fr
23/01/2020,140.9,tirendo.fr
24/01/2020,123.5,1001pneus.fr
24/01/2020,166.9,123pneus.fr
24/01/2020,143.94,bonspneus.fr
24/01/2020,128.48,centralepneus.fr
24/01/2020,126.9,feuvert.fr
24/01/2020,126.9,norauto.fr
24/01/2020,140.9,tirendo.fr
25/01/2020,124.9,1001pneus.fr
25/01/2020,166.9,123pneus.fr
25/01/2020,143.94,bonspneus.fr
25/01/2020,128.29,centralepneus.fr
25/01/2020,126.9,feuvert.fr
25/01/2020,140.9,tirendo.fr
26/01/2020,124.9,1001pneus.fr
26/01/2020,166.9,123pneus.fr
26/01/2020,143.94,bonspneus.fr
26/01/2020,128.29,centralepneus.fr
26/01/2020,126.9,feuvert.fr
26/01/2020,140.9,tirendo.fr
